$ID,$ID_NAME,Icon,Link_Collections,Link_Drops,Link_Ingredients,Link_Recipes,Link_Target,Name,Price,Tradability,Type
1001,R_timber_01,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 645238, ""Name"": ""Oak Wood"", ""Icon"": ""icon_item_wood_1""}, ""Quantity"": 3}]",,"{'$ID': 645242, 'Name': 'Oak Lumber', 'Icon': 'icon_item_timber_1'}",Recipe - Oak Lumber,10,1111,21
1002,R_timber_02,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 645239, ""Name"": ""Ash Wood"", ""Icon"": ""icon_item_wood_2""}, ""Quantity"": 3}]",,"{'$ID': 645243, 'Name': 'Ash Lumber', 'Icon': 'icon_item_timber_2'}",Recipe - Ash Lumber,10,1111,21
1003,R_timber_03,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 645240, ""Name"": ""Pine Wood"", ""Icon"": ""icon_item_wood_3""}, ""Quantity"": 3}]",,"{'$ID': 645244, 'Name': 'Pine Lumber', 'Icon': 'icon_item_timber_3'}",Recipe - Pine Lumber,10,1111,21
1004,R_timber_04,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 645241, ""Name"": ""Cedar Wood"", ""Icon"": ""icon_item_wood_4""}, ""Quantity"": 3}]",,"{'$ID': 645245, 'Name': 'Cedar Lumber', 'Icon': 'icon_item_timber_4'}",Recipe - Cedar Lumber,10,1111,21
1010,R_drakeResc,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 1010, ""Name"": ""Recipe - Drake Epaulet"", ""Icon"": ""icon_item_recipe_misc1""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645216, ""Name"": ""Drake Horn"", ""Icon"": ""icon_item_longhorn""}, ""Quantity"": 300}]","[{""$ID"": 1010, ""Name"": ""Recipe - Drake Epaulet"", ""Icon"": ""icon_item_recipe_misc1""}]","{'$ID': 645305, 'Name': 'Drake Epaulet', 'Icon': 'icon_item_hood_templeslave_blue'}",Recipe - Drake Epaulet,10,0000,21
2001,R_rsc_2_1,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 2001, ""Name"": ""Recipe - White Mucus"", ""Icon"": ""icon_item_recipe_misc1""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645024, ""Name"": ""Hanaming Petal"", ""Icon"": ""icon_item_hanamingpetal""}, ""Quantity"": 5}, {""Item"": {""$ID"": 645352, ""Name"": ""Grummer Leaf"", ""Icon"": ""icon_item_leaves_green""}, ""Quantity"": 2}]","[{""$ID"": 2001, ""Name"": ""Recipe - White Mucus"", ""Icon"": ""icon_item_recipe_misc1""}]","{'$ID': 645495, 'Name': 'White Mucus', 'Icon': '38_item_ore_mercury'}",Recipe - White Mucus,10,1111,21
2002,R_rsc_2_2,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 2002, ""Name"": ""Recipe - Florr"", ""Icon"": ""icon_item_recipe_misc1""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645131, ""Name"": ""Crystal Spider Feelers"", ""Icon"": ""icon_item_feeler_blue""}, ""Quantity"": 4}]","[{""$ID"": 2002, ""Name"": ""Recipe - Florr"", ""Icon"": ""icon_item_recipe_misc1""}]","{'$ID': 645496, 'Name': 'Florr', 'Icon': 'icon_item_crystal_green'}",Recipe - Florr,10,1111,21
2003,R_rsc_2_3,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 2003, ""Name"": ""Recipe - Rough Bones Powder"", ""Icon"": ""icon_item_recipe_misc1""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645333, ""Name"": ""Glizardon Bones"", ""Icon"": ""icon_item_bone""}, ""Quantity"": 4}]","[{""$ID"": 2003, ""Name"": ""Recipe - Rough Bones Powder"", ""Icon"": ""icon_item_recipe_misc1""}]","{'$ID': 645497, 'Name': 'Rough Bones Powder', 'Icon': 'icon_item_powderw'}",Recipe - Rough Bones Powder,10,1111,21
2004,R_rsc_2_4,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 2004, ""Name"": ""Recipe - Tendon"", ""Icon"": ""icon_item_recipe_misc1""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645164, ""Name"": ""Merog Heart"", ""Icon"": ""item_icon_heart_yellow""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645310, ""Name"": ""Mallardu Meat"", ""Icon"": ""icon_item_meat_02""}, ""Quantity"": 5}]","[{""$ID"": 2004, ""Name"": ""Recipe - Tendon"", ""Icon"": ""icon_item_recipe_misc1""}]","{'$ID': 645498, 'Name': 'Tendon', 'Icon': 'icon_item_leash'}",Recipe - Tendon,10,1111,21
2005,R_hrsc_2_1,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 2005, ""Name"": ""Recipe - Spell Reservoir"", ""Icon"": ""icon_item_recipe_misc1""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645175, ""Name"": ""Sauga Core"", ""Icon"": ""icon_item_core_yellow""}, ""Quantity"": 5}, {""Item"": {""$ID"": 645221, ""Name"": ""Boowook Core"", ""Icon"": ""icon_item_core_yellow""}, ""Quantity"": 3}, {""Item"": {""$ID"": 645181, ""Name"": ""Vikaras Core"", ""Icon"": ""icon_item_core_yellow""}, ""Quantity"": 2}]","[{""$ID"": 2005, ""Name"": ""Recipe - Spell Reservoir"", ""Icon"": ""icon_item_recipe_misc1""}]","{'$ID': 645502, 'Name': 'Spell Reservoir', 'Icon': 'icon_item_core_purple'}",Recipe - Spell Reservoir,10,1111,21
2006,R_misc_jore12,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 2006, ""Name"": ""Recipe - Pyrostone"", ""Icon"": ""icon_item_recipe_misc1""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645496, ""Name"": ""Florr"", ""Icon"": ""icon_item_crystal_green""}, ""Quantity"": 2}, {""Item"": {""$ID"": 649208, ""Name"": ""Pyrite"", ""Icon"": ""32_item_ore_pyrite""}, ""Quantity"": 10}]","[{""$ID"": 2006, ""Name"": ""Recipe - Pyrostone"", ""Icon"": ""icon_item_recipe_misc1""}]","{'$ID': 649211, 'Name': 'Pyrostone', 'Icon': '32_item_ore_pyrite'}",Recipe - Pyrostone,10,1111,21
2007,R_misc_jore13,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 2007, ""Name"": ""Recipe - Cryostone"", ""Icon"": ""icon_item_recipe_misc1""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645496, ""Name"": ""Florr"", ""Icon"": ""icon_item_crystal_green""}, ""Quantity"": 2}, {""Item"": {""$ID"": 649210, ""Name"": ""Cryorite"", ""Icon"": ""39_icon_item_cry8rite""}, ""Quantity"": 10}]","[{""$ID"": 2007, ""Name"": ""Recipe - Cryostone"", ""Icon"": ""icon_item_recipe_misc1""}]","{'$ID': 649212, 'Name': 'Cryostone', 'Icon': '39_icon_item_cry8rite'}",Recipe - Cryostone,10,1111,21
2008,R_rsc_3_1,icon_item_recipe_misc1,,,"[{""Item"": {""$ID"": 2008, ""Name"": ""Recipe - Hardener"", ""Icon"": ""icon_item_recipe_misc1""}, ""Quantity"": 1}, {""Item"": {""$ID"": 645497, ""Name"": ""Rough Bones Powder"", ""Icon"": ""icon_item_powderw""}, ""Quantity"": 3}, {""Item"": {""$ID"": 645438, ""Name"": ""Ellom Bell"", ""Icon"": ""icon_item_drop""}, ""Quantity"": 1}]","[{""$ID"": 2008, ""Name"": ""Recipe - Hardener"", ""Icon"": ""icon_item_recipe_misc1""}]","{'$ID': 645499, 'Name': 'Hardener', 'Icon': 'icon_item_quest_00020'}",Recipe - Hardener,10,1111,21
